FECHA_COMPRA,NOMBRE_TIENDA,CODIGO_VENTA,PRODUCTO_VENTA,CANTIDAD_UNITARIA_PRODUCTO,PRECIO_VENTA,COSTO_PRODUCTO,PAIS_PRODUCTO,IMPORTE_TOTAL,CANTIDAD_TOTAL_PRODUCTO,FORMA_PAGO,MARCA_PRODUCTO,UNIDAD_VENTA_PRODUCTO,TIENE_PROMO_PRODUCTO,NOMBRE_PROMO_PRODUCTO,TIPO_PROMO_PRODUCTO,NOMBRE_PROVEEDOR,PERIODO_PAGO_PROVEEDOR,ALCANCE_PROVEEDOR,SUBFAMILIA_PRODUCTO,FAMILIA_PRODUCTO,SECCION_PRODUCTO
2000-09-01,Barcelona,BA1179699,"Crumbly Lancanshire",1,5.5875,3.93,"Reino Unido",42.9475,4,"Tarjeta de Crédito","The Farmhouse","Porción (250 g)",0,NULL,NULL,"The Farmhouse Company",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA0589904,"Red Leicester",1,6.2250,4.18,"Reino Unido",68.2450,4,"Tarjeta Débito","The Red Farm","Porción (250 g)",0,NULL,NULL,"The Farmhouse Company",60,Global,"Vaca Semicurado",Vaca,Quesos
2000-09-01,Barcelona,BA4128811,"Mature Cheddar",1,6.2250,4.15,"Reino Unido",6.2250,1,"Tarjeta de Crédito",Yellowcheese,"Porción (250 g)",0,NULL,NULL,"The Farmhouse Company",60,Global,"Vaca Curado",Vaca,Quesos
2000-09-01,Barcelona,BA0000078,"White Stilton",1,7.4750,5.07,"Reino Unido",7.4750,1,"Tarjeta Débito","Blue Cow","Porción (250 g)",0,NULL,NULL,"The Farmhouse Company",60,Global,"Vaca Tierno",Vaca,Quesos
2000-09-01,Barcelona,BA3276850,Banon,1,3.1000,2.21,Francia,165.9750,11,Efectivo,Ferail,"Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Cabra Semicurado",Cabra,Quesos
2000-09-01,Barcelona,BA0983077,Camembert,1,5.5625,3.78,Francia,20.5825,2,Efectivo,"Le Caprice","Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Vaca Pasta blanda",Vaca,Quesos
2000-09-01,Barcelona,BA1179688,Camembert,1,5.5625,3.78,Francia,64.3125,3,"Tarjeta Débito","Le Caprice","Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Vaca Pasta blanda",Vaca,Quesos
2000-09-01,Barcelona,BA1310803,Camembert,1,5.5625,3.78,Francia,5.5625,1,Efectivo,"Le Caprice","Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Vaca Pasta blanda",Vaca,Quesos
2000-09-01,Barcelona,BA0196719,Camembert,1,5.5625,3.78,Francia,18.2625,3,"Tarjeta Débito","Le Caprice","Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Vaca Pasta blanda",Vaca,Quesos
2000-09-01,Barcelona,BA0131105,Chèvre,1,7.2750,4.96,Francia,33.8775,3,"Tarjeta de Crédito",Terdeloup,"Porción (250 g)",0,NULL,NULL,"Compagnie Laitier",60,Global,"Cabra Tierno",Cabra,Quesos
